Feature,MI_Score
Days_Since_Last_Purchase,0.6009192431443715
Activity_Trend_90d,0.5900736214338345
Spending_Last_90d,0.5878217770440255
Purchases_Last_90d,0.5807532722358095
Purchases_Last_60d,0.33175776453727757
Spending_Last_60d,0.3256882978038398
Purchases_Last_30d,0.15058146387050808
Spending_Last_30d,0.14866898813778118
Avg_Days_Between_Purchases,0.09167627108952203
Purchases_Per_Month,0.08483796072226646
Purchase_Count_Check,0.02980692426496212
Items_Per_Order_Std,0.0282882183260309
Total_Transactions,0.024840846205800737
Spending_Per_Day,0.018882565102300575
Return_Rate,0.017011342139669594
Total_Items_Purchased,0.01396011837890132
Avg_Returns_Per_Order,0.01381834318547348
Used_Cash,0.013300955487512311
Avg_Items_Per_Order,0.013056104616037345
Total_Returns,0.01080103994716719
Avg_Product_Price,0.008491244170560464
Product_Price_Volatility,0.008406048164660618
Order_Value_Consistency,0.007048007073132467
Order_Value_Volatility,0.007047206332336131
Min_Order_Value,0.006876642252676035
Avg_Order_Value,0.006409757459541865
Spent_on_Clothing,0.005627443315093572
Is_VIP,0.005142543189682769
Max_Product_Price,0.0051330173644217325
Max_Returns_Single_Order,0.004773307207993405
Spent_on_Home,0.004599848202881063
Is_New_Customer,0.00403650559649904
Used_PayPal,0.002946743837175525
Spent_on_Books,0.0027831107385143383
Min_Product_Price,0.0027394717746407338
Max_Order_Value,0.002663983190849706
Spent_on_Electronics,0.002473877048579709
Age,0.0023542276770411874
Customer_ID,0.0
Used_Credit_Card,0.0
Gender,0.0
